type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,72,35.2,89,107.8,327,73040
Wohngebäude zusammen,60,-6.7,91,108.2,331,30326
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,19,0.5,63,67.1,205,18439
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,20,2.2,73,73.2,229,18668
Wohnungsunternehmen,16,-1.1,45,49.9,178,12138
Immobilienfonds,1,-1.1,2,2.9,7,490
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,4.4,26,20.4,44,6040
Private Haushalte,40,-8.9,18,35,102,11658
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,12,42,-2,-0.4,-4,42714
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,1,7,–,–,–,10353
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,4,16,–,1.4,4,11753
Fabrik- und Werkstattgebäude,3,11.9,–,1.4,4,10338
Handelsgebäude,–,–,–,–,–,–
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,1,4.1,–,–,–,1415
Sonstige Nichtwohngebäude,7,18.9,-2,-1.8,-8,20608
Ausgewählte Infrastrukturgebäude,7,18.9,-2,-1.8,-8,20608
Öffentliche Bauherren,2,11.8,–,–,–,15510
Unternehmen,6,19.1,-2,-1.8,-8,22780
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,7.3,–,–,–,7115
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,11.7,-2,-1.8,-8,15665
Private Haushalte,3,2.8,–,1.4,4,941
Organisationen o. Erwerbszweck,1,8.3,–,–,–,3483
