year,residential_buildings,residential_buildings_with_1_apartment,residential_buildings_with_2_apartments,residential_buildings_with_3_or_more_apartments,apartments,volume,living_area,estimated_costs,apartments_in_new_non_residential_buildings
2013,2280,1774,86,420,9873,4867,9293.5,1301349,228
2014,2708,1853,92,763,16098,7278,13774.4,2110824,263
2015,2590,1693,80,817,17814,7595,13966.6,2104858,121
2016,2640,1675,78,887,21064,7788,14868,2440795,43
2017,2660,1633,93,934,21472,7716,15135.9,2520800,90
2018,2221,1211,73,937,20739,7492,14884,2695216,290
2019,2127,1283,62,782,19499,6513,12768.2,2452605,253
2020,1954,1107,105,742,17849,6112,11768.9,2396865,228
2021,2150,1281,111,758,16825,6000,11705.9,2526188,180
2022,1724,1055,82,587,14851,5052,9643.1,2305026,335
2022 Januar,107,68,8,31,602,231,438,106773,50
Februar,149,90,5,54,1030,370,688.9,178009,–
März,180,133,4,43,1223,378,755,158577,–
April,130,74,3,53,1383,441,795.8,220625,39
Mai,152,93,4,55,1512,517,925.6,220893,–
Juni,150,87,5,58,1416,620,1186.1,259083,61
Juli,123,76,7,40,1156,388,773.9,173786,–
August,146,87,5,54,1188,438,811.4,171496,12
September,132,74,9,49,988,347,694.6,163263,–
Oktober,149,94,16,39,1035,403,717.3,198639,–
November,138,88,11,39,1629,375,734.8,208337,27
Dezember,171,88,5,73,1938,642,1300.2,296103,101
2023 Januar,97,48,3,46,987,334,691.4,193688,2
Februar,84,53,3,28,1342,313,645.9,161361,11
März,98,59,4,35,738,257,493.3,124171,1
April,147,58,8,81,2277,779,1325.2,305351,393
Mai,66,25,6,35,783,288,574.9,155633,2
Juni,…,…,…,…,…,…,…,…,…
Juli,…,…,…,…,…,…,…,…,…
August,…,…,…,…,…,…,…,…,…
September,…,…,…,…,…,…,…,…,…
Oktober,…,…,…,…,…,…,…,…,…
November,…,…,…,…,…,…,…,…,…
Dezember,…,…,…,…,…,…,…,…,…
