type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,104,52.5,86,103.8,389,98776
Wohngebäude zusammen,91,"– 23,0",87,104.8,393,39909
Wohnheime,1,"– 3,4",1,2.9,37,371
Wohngebäude mit Eigentumswohnungen,18,"– 4,4",30,27.4,111,9571
Öffentliche Bauherren,7,–,10,7.3,31,1176
Unternehmen,22,"– 14,1",33,37.5,169,14006
Wohnungsunternehmen,13,"– 14,0",27,21.1,122,9200
Immobilienfonds,4,0.3,9,8.3,24,2293
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,"– 0,4",– 3,8.2,23,2513
Private Haushalte,60,"– 8,9",45,59.3,195,24273
Organisationen ohne Erwerbszweck,2,–,– 1,0.8,– 2,454
Nichtwohngebäude,13,75.5,– 1,"–1,0",– 4,58867
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,13.1,–,–,–,36841
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,4,46.3,–,–,–,14043
Fabrik- und Werkstattgebäude,1,2.4,–,–,–,5910
Handelsgebäude,1,"– 1,4",–,–,–,1350
Warenlagergebäude,1,44,–,–,–,6327
Hotels und Gaststätten,1,1.3,–,–,–,456
Sonstige Nichtwohngebäude,5,16.1,– 1,"– 1,0",– 4,7983
Ausgewählte Infrastrukturgebäude,5,16.1,– 1,"– 1,0",– 4,7983
Öffentliche Bauherren,5,25.5,– 1,"– 1,0",– 4,33209
Unternehmen,6,3.7,–,–,–,15915
Wohnungsunternehmen,1,1.4,–,–,–,537
Immobilienfonds,1,"– 1,8",–,–,–,1774
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,2.4,–,–,–,5910
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,1.6,–,–,–,7694
Private Haushalte,2,46.3,–,–,–,9743
Organisationen o. Erwerbszweck,–,–,–,–,–,–
