year_month,building_permits_total,building_permits_residential_buildings,building_permits_non_residential_buildings,building_measure_on_existing_buildings,usage_area,living_area,apartments,apartment_rooms,estimated_costs
2014,4397,2708,240,1449,6815.6,16768.8,19199,59070,3744711
2015,4420,2590,296,1534,6413.6,17308.9,22365,63107,3572915
2016,4378,2640,305,1433,11367.1,17816.5,25052,67792,4431710
2017,4419,2660,274,1485,8743.8,17964.1,24743,66732,4494159
2018,3815,2221,256,1338,12572.8,17248.1,24218,62726,5426268
2019,3825,2127,298,1400,13238.9,15241.7,22524,58643,5836461
2020,3439,1954,260,1225,12463.7,13730.8,20459,53555,5591741
2021,3665,2150,288,1227,11141.1,13512.8,18716,51292,5877049
2022,3074,1724,245,1105,12511.9,11336.6,16968,43136,5934032
2023¹,2558,1268,231,1059,9546.2,10401.0,15931,40455,6197819
2022 Januar,232,107,11,114,628.8,603.4,767,2218,347989
Februar,241,149,15,77,687.7,760.7,1114,3111,361196
März,276,180,23,73,1375.6,835.4,1321,3328,642162
April,227,130,25,72,1319.3,932.0,1511,3654,454217
Mai,301,152,19,130,543.0,1098.1,1655,4043,388190
Juni,284,150,28,106,1518.0,1457.1,1908,5232,700672
Juli,224,123,11,90,637.2,835.0,1210,3294,278028
August,256,146,18,92,879.2,933.2,1297,3507,434256
September,249,132,17,100,591.3,772.1,1030,2745,362285
Oktober,238,149,14,75,373.0,891.6,1356,3275,327043
November,245,138,23,84,1028.0,879.4,1853,3451,545296
Dezember,307,171,41,95,2871.3,1490.2,2143,5735,1136839
2023 Januar,198,97,14,87,692.4,802.1,1085,3130,345276
Februar,165,84,11,70,312.9,733.4,1449,2931,282595
März,228,98,15,115,293.4,610.5,1035,2574,303625
April,242,147,22,73,988.0,1487.3,2750,6152,559726
Mai,183,66,17,100,971.5,712.8,944,2589,714240
Juni,226,94,19,113,706.8,691.2,869,2441,496544
Juli,227,125,17,85,416.4,551.8,977,2250,303521
August,172,85,18,69,1351.3,807.3,1133,2917,575461
September,215,121,22,72,532.2,656.3,990,2498,898076
Oktober,259,150,28,81,1114.3,1366.0,1999,5271,658136
November,199,71,24,104,976.1,709.5,969,2587,419600
Dezember,244,130,24,90,1191.0,1272.7,1731,5115,641019
