type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,168,688.2,992,769.8,2548,350134
Wohngebäude zusammen,144,62.2,983,777.7,2542,191884
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,26,5.1,98,80.9,294,37095
Öffentliche Bauherren,8,18,277,272.3,787,44627
Unternehmen,41,32.6,599,383.1,1296,103231
Wohnungsunternehmen,33,23.4,318,235.6,893,59746
Immobilienfonds,2,9.2,126,41.9,135,15251
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,–,155,105.6,268,28234
Private Haushalte,94,11.7,103,122.4,452,44018
Organisationen ohne Erwerbszweck,1,–,4,"– 0,1",7,8
Nichtwohngebäude,24,625.9,9,"– 7,9",6,158250
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,392.4,– 18,"– 26,1",– 48,121620
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,12,186.5,27,20,64,24143
Fabrik- und Werkstattgebäude,4,84.5,2,1.5,5,11122
Handelsgebäude,4,52.8,28,19.8,67,10718
Warenlagergebäude,2,46.8,–,–,–,2109
Hotels und Gaststätten,1,"– 0,1",1,1.2,4,135
Sonstige Nichtwohngebäude,8,47,–,"– 1,8",– 10,12487
Ausgewählte Infrastrukturgebäude,9,48.2,–,"– 1,8",– 10,15061
Öffentliche Bauherren,4,24.4,– 4,"– 2,5",– 12,7422
Unternehmen,13,558.6,9,"– 7,2",17,140787
Wohnungsunternehmen,3,93.2,8,"– 8,4",13,10564
Immobilienfonds,1,348.2,–,–,–,115150
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,58,–,–,–,8702
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",7,59.2,1,1.2,4,6371
Private Haushalte,4,36.9,4,3.5,11,8593
Organisationen o. Erwerbszweck,3,6,–,"– 1,8",– 10,1448
