district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,10,47.3,8,10.7,38539
Friedrichshain-Kreuzberg,7,1.1,17,17.1,15109
Pankow,9,4,9,9.7,2960
Charlottenburg-Wilmersdorf,19,67.5,165,88.0,77954
Spandau,14,298.5,65,29.4,247696
Steglitz-Zehlendorf,23,8.9,81,84.9,33044
Tempelhof-Schöneberg,14,33.3,55,22.8,14175
Neukölln,2,"– 0,4",2,1.7,200
Treptow-Köpenick,26,134,114,74.2,98269
Marzahn-Hellersdorf,13,21,23,18.8,10449
Lichtenberg,6,21.8,44,36.9,15598
Reinickendorf,18,108.2,38,31.5,49029
