type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,221,1063.7,874,643.3,2541,422872
Wohngebäude zusammen,191,58.6,868,635.2,2518,192206
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,37,16.1,336,237.8,891,69396
Öffentliche Bauherren,4,5,23,25.3,105,14882
Unternehmen,86,34.5,691,483.6,1924,136876
Wohnungsunternehmen,67,27.5,495,353.9,1351,102665
Immobilienfonds,2,0.1,– 1,"– 0,1",– 3,199
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,0.2,2,2.2,8,1068
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",15,6.7,195,127.5,568,32944
Private Haushalte,100,19.1,154,125.8,491,40240
Organisationen ohne Erwerbszweck,1,–,–,0.6,– 2,208
Nichtwohngebäude,30,1005.1,6,8.2,23,230666
Anstaltsgebäude,1,–,–,–,2,15
Büro- und Verwaltungsgebäude,4,706.1,–,–,–,134854
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,15,179.6,4,–,2,53663
Fabrik- und Werkstattgebäude,3,46.3,–,–,–,25747
Handelsgebäude,5,21.9,–,–,–,13130
Warenlagergebäude,3,78,–,–,–,7920
Hotels und Gaststätten,2,9,4,–,2,2755
Sonstige Nichtwohngebäude,10,119.4,2,8.2,19,42134
Ausgewählte Infrastrukturgebäude,12,154.9,2,8.2,21,64462
Öffentliche Bauherren,7,74.7,–,–,–,35040
Unternehmen,19,917.9,4,–,4,190320
Wohnungsunternehmen,3,165.7,–,–,–,48976
Immobilienfonds,2,43.8,–,–,–,9457
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,4,51.1,–,–,–,25567
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",10,657.4,4,–,4,106320
Private Haushalte,2,10.4,–,–,–,1373
Organisationen o. Erwerbszweck,2,2.1,2,8.2,19,3933
