year_month,building_permits_total,building_permits_residential_buildings,building_permits_non_residential_buildings,building_measure_on_existing_buildings,usage_area,living_area,apartments,apartment_rooms,estimated_costs
2015,4420,2590,296,1534,6413.6,17308.9,22365,63107,3572915
2016,4378,2640,305,1433,11367.1,17816.5,25052,67792,4431710
2017,4419,2660,274,1485,8743.8,17964.1,24743,66732,4494159
2018,3815,2221,256,1338,12572.8,17248.1,24218,62726,5426268
2019,3825,2127,298,1400,13238.9,15241.7,22524,58643,5836461
2020,3439,1954,260,1225,12463.7,13730.8,20459,53555,5591741
2021,3665,2150,288,1227,11141.1,13512.8,18716,51292,5877049
2022,3074,1724,245,1105,12511.9,11336.6,16968,43136,5934032
2023,2541,1260,230,1051,9579.2,10370.2,15902,40284,6196498
2024,2040,922,221,897,9041.3,6973.2,9772,25784,5276610
2024 Januar,162,88,17,57,533.7,690.5,987,2815,254478
Februar,168,78,13,77,688.2,769.8,992,2548,350134
März,160,73,22,65,436.6,567.1,729,1989,332774
April,188,96,19,73,846.4,727.9,951,2598,414068
Mai,160,66,24,70,1362.2,651.5,997,2423,588348
Juni,184,70,15,99,873.7,459.3,620,1759,516676
Juli,229,109,20,100,683.5,790.1,1080,2912,479026
August,161,52,23,86,745.2,425.6,621,1602,603022
September,128,62,19,47,555.9,371.5,645,1177,337071
Oktober,221,89,17,115,1063.7,643.3,874,2541,422872
November,159,88,15,56,484.2,485.1,721,1917,347148
Dezember,132,58,19,55,784.9,507.4,704,1781,665020
2025 Januar,226,83,19,124,1020,636.1,888,2302,824577
Februar,…,…,…,…,…,…,…,…,…
März,…,…,…,…,…,…,…,…,…
April,…,…,…,…,…,…,…,…,…
Mai,…,…,…,…,…,…,…,…,…
Juni,…,…,…,…,…,…,…,…,…
Juli,…,…,…,…,…,…,…,…,…
August,…,…,…,…,…,…,…,…,…
September,…,…,…,…,…,…,…,…,…
Oktober,…,…,…,…,…,…,…,…,…
November,…,…,…,…,…,…,…,…,…
Dezember,…,…,…,…,…,…,…,…,…
