district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,2,15,6.8,39,27.5,9872
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,19,56,25.2,143,100.3,38386
Charlottenburg-Wilmersdorf,8,59,20.5,128,104,41899
Spandau,5,36,6,130,75.5,20434
Steglitz-Zehlendorf,13,29,14.8,45,49.2,14738
Tempelhof-Schöneberg,1,2,–,1,3.5,1000
Neukölln,3,16,1.1,77,34.5,7748
Treptow-Köpenick,3,4,1.3,14,6.8,1788
Marzahn-Hellersdorf,10,19,1.2,54,36.9,13732
Lichtenberg,2,12,0.7,59,26.9,7783
Reinickendorf,7,7,3.6,12,13.5,4284
