type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,77,48.8,84,71.8,266,56256
1,0,residential_buildings,66,-31.1,130,123.3,407,34313
2,1,dormitories,0,0.0,0,0.0,0,0
3,1,residential_buildings_with_condominium,21,-19.4,57,55.5,182,16151
4,1,public_builders,2,5.4,10,7.8,26,3242
5,1,companies,18,-34.8,85,70.2,258,18083
6,5,housing_companies,12,-31.0,71,57.9,213,15681
7,5,real_estate_funds,4,-3.4,12,8.9,35,1836
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
9,5,manufacturing_industry,0,0.0,0,0.0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,2,-0.4,2,3.5,10,566
11,1,private_households,46,-1.8,35,45.3,123,12988
12,1,non_profit_organizations,0,0.0,0,0.0,0,0
13,0,non_residential_buildings,11,80.0,-46,-51.5,-141,21943
14,13,institution_buildings,0,0.0,0,0.0,0,0
15,13,office_and_administration_buildings,2,3.6,2,1.4,6,2654
16,13,algricultural_buildings,0,0.0,0,0.0,0,0
17,13,non_algricultural_buildings,8,74.5,-48,-52.8,-147,18878
18,17,factory_and_workshop_buildings,2,-1.5,0,0.3,3,3825
19,17,commercial_buildings,3,8.5,0,0.0,0,2558
20,17,warehouse_buildings,0,0.0,0,0.0,0,0
21,17,hotels_and_restaurants,3,67.5,-48,-53.2,-150,12495
22,13,other_non_residential_buildings,1,1.9,0,0.0,0,411
23,13,selected_infrastructure_buildings,1,1.9,0,0.0,0,411
24,13,public_builders,1,-1.5,0,0.0,0,3711
25,13,companies,9,79.6,-46,-51.5,-141,17821
26,25,housing_companies,2,3.9,2,1.4,6,2831
27,25,real_estate_funds,1,5.0,0,0.0,0,2500
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
29,25,manufacturing_industry,1,0.0,0,0.3,3,114
30,25,trade_banking_services_insurance_transport_and_communications,5,70.8,-48,-53.2,-150,12376
31,13,private_households,0,0.0,0,0.0,0,0
32,13,non_profit_organisations,1,1.9,0,0.0,0,411
