type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,163,703,450.5,1035,717.3,2630,253689
1,0,residential_buildings,149,403,138.8,1035,717.3,2630,198639
2,1,residential_buildings_with_1_apartment,94,73,32.0,94,134.1,506,37003
3,1,residential_buildings_with_2_apartments,16,16,10.2,32,33.1,125,7861
4,1,residential_buildings_with_3_or_more_apartments,39,315,96.6,909,550.1,1999,153775
5,1,dormitories,0,0,0.0,0,0.0,0,0
6,1,residential_buildings_with_condominium,13,64,7.1,153,139.0,473,37168
7,1,public_builders,15,182,41.2,580,305.0,1107,88072
8,1,companies,41,113,44.0,285,228.9,870,59418
9,8,housing_companies,27,49,26.3,104,99.2,339,26636
10,8,real_estate_funds,5,26,4.5,78,53.5,175,16689
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,3,15,10.2,33,20.8,123,4242
13,8,trade_banking_services_insurance_transport_and_communications,6,22,3.0,70,55.4,233,11851
14,1,private_households,93,109,53.6,170,183.3,653,51149
15,1,non_profit_organizations,0,0,0.0,0,0.0,0,0
16,0,non_residential_buildings,14,300,311.7,0,0.0,0,55050
17,16,institution_buildings,0,0,0.0,0,0.0,0,0
18,16,office_and_administration_buildings,0,0,0.0,0,0.0,0,0
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,7,226,222.9,0,0.0,0,23613
21,20,factory_and_workshop_buildings,1,6,12.0,0,0.0,0,434
22,20,commercial_buildings,0,0,0.0,0,0.0,0,0
23,20,warehouse_buildings,3,214,202.1,0,0.0,0,19756
24,20,hotels_and_restaurants,2,6,7.4,0,0.0,0,3362
25,16,other_non_residential_buildings,7,75,88.8,0,0.0,0,31437
26,16,selected_infrastructure_buildings,7,75,88.8,0,0.0,0,31437
27,16,public_builders,5,75,86.1,0,0.0,0,32395
28,16,companies,4,215,204.1,0,0.0,0,19988
29,28,housing_companies,0,0,0.0,0,0.0,0,0
30,28,real_estate_funds,0,0,0.0,0,0.0,0,0
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,0,0,0.0,0,0.0,0,0
33,28,trade_banking_services_insurance_transport_and_communications,4,215,204.1,0,0.0,0,19988
34,16,private_households,2,6,13.4,0,0.0,0,495
35,16,non_profit_organisations,3,4,8.1,0,0.0,0,2172
