type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,70,70.6,96,82.2,250,53776
1,0,residential_buildings,64,-9.0,96,82.2,250,30679
2,1,dormitories,0,0,0,0.0,0,0
3,1,residential_buildings_with_condominium,16,-7.5,20,23.8,67,10856
4,1,public_builders,0,0,0,0.0,0,0
5,1,companies,29,-3.0,83,60.7,194,21448
6,5,housing_companies,11,-1.4,18,19.6,46,9616
7,5,real_estate_funds,15,-6.0,32,25.5,89,7745
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
9,5,manufacturing_industry,0,0,0,0.0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,3,4.4,33,15.6,59,4087
11,1,private_households,35,-6.0,13,21.6,56,9231
12,1,non_profit_organizations,0,0,0,0.0,0,0
13,0,non_residential_buildings,6,79.6,0,0.0,0,23097
14,13,institution_buildings,0,0,0,0.0,0,0
15,13,office_and_administration_buildings,1,61.5,0,0.0,0,43
16,13,algricultural_buildings,0,0,0,0.0,0,0
17,13,non_algricultural_buildings,4,25.1,0,0.0,0,12498
18,17,factory_and_workshop_buildings,1,13.5,0,0.0,0,3200
19,17,commercial_buildings,3,11.6,0,0.0,0,9298
20,17,warehouse_buildings,0,0,0,0.0,0,0
21,17,hotels_and_restaurants,0,0,0,0.0,0,0
22,13,other_non_residential_buildings,1,-7.0,0,0.0,0,10556
23,13,selected_infrastructure_buildings,1,-7.0,0,0.0,0,10556
24,13,public_builders,0,0,0,0.0,0,0
25,13,companies,6,79.6,0,0.0,0,23097
26,25,housing_companies,0,0,0,0.0,0,0
27,25,real_estate_funds,2,54.5,0,0.0,0,10599
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
29,25,manufacturing_industry,1,13.5,0,0.0,0,3200
30,25,trade_banking_services_insurance_transport_and_communications,3,11.6,0,0.0,0,9298
31,13,private_households,0,0,0,0.0,0,0
32,13,non_profit_organisations,0,0,0,0.0,0,0
