type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,228,293.4,1035,610.5,2574,303625
1,0,residential_buildings,202,62.1,1033,608.3,2570,171183
2,1,dormitories,1,-3.7,34,3.7,34,154
3,1,residential_buildings_with_condominium,32,22.3,394,223.1,797,57316
4,1,public_builders,15,0,150,18.5,360,2925
5,1,companies,73,47.8,769,433.4,1672,123416
6,5,housing_companies,46,15.5,528,301.1,1168,86929
7,5,real_estate_funds,8,3.7,25,29.2,88,9090
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
9,5,manufacturing_industry,1,0.1,1,1.7,5,362
10,5,trade_banking_services_insurance_transport_and_communications,18,28.5,215,101.5,411,27035
11,1,private_households,114,14.4,114,156.4,538,44842
12,1,non_profit_organizations,0,0,0,0.0,0,0
13,0,non_residential_buildings,26,231.3,2,2.2,4,132442
14,13,institution_buildings,0,0,0,0.0,0,0
15,13,office_and_administration_buildings,4,127.4,0,0.0,0,33445
16,13,algricultural_buildings,0,0,0,0.0,0,0
17,13,non_algricultural_buildings,9,37,2,1.6,4,37326
18,17,factory_and_workshop_buildings,3,8,2,1.6,4,7213
19,17,commercial_buildings,0,0,0,0.0,0,0
20,17,warehouse_buildings,2,12.9,0,0.0,0,950
21,17,hotels_and_restaurants,2,4.8,0,0.0,0,26526
22,13,other_non_residential_buildings,13,66.9,0,0.7,0,61671
23,13,selected_infrastructure_buildings,15,71.4,0,0.7,0,65915
24,13,public_builders,8,40.2,0,0.0,0,51809
25,13,companies,10,155.4,2,1.6,4,65884
26,25,housing_companies,4,76.5,2,1.6,4,34620
27,25,real_estate_funds,1,63.7,0,0.0,0,16449
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
29,25,manufacturing_industry,2,12.7,0,0.0,0,690
30,25,trade_banking_services_insurance_transport_and_communications,3,2.5,0,0.0,0,14125
31,13,private_households,2,4,0,0.0,0,692
32,13,non_profit_organisations,6,31.7,0,0.7,0,14057
