type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,100,25.2,159,135,526,62709
1,0,residential_buildings,91,–2.8,160,138.7,542,55945
2,1,dormitories,0,0,0,0,0,0
3,1,residential_buildings_with_condominium,29,2.2,75,69.6,254,29746
4,1,public_builders,1,-2.4,2,2.4,4,1350
5,1,companies,31,-5.9,144,105.5,452,40162
6,5,housing_companies,18,2.9,56,37.3,192,17036
7,5,real_estate_funds,10,-1.9,79,56.7,224,20508
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,3,-6.8,9,11.5,36,2618
11,1,private_households,59,5.5,14,30.8,86,14433
12,1,non_profit_organizations,0,0,0,0,0,0
13,0,non_residential_buildings,9,27.9,-1,-3.7,-16,6764
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,2,4.6,-1,-1.9,-10,1310
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,5,16,1,1.5,5,3188
18,17,factory_and_workshop_buildings,1,2.5,0,0,0,658
19,17,commercial_buildings,2,11.8,0,0,0,2256
20,17,warehouse_buildings,0,0,0,0,0,0
21,17,hotels_and_restaurants,2,1.7,1,1.5,5,274
22,13,other_non_residential_buildings,2,7.4,-1,-3.4,-11,2266
23,13,selected_infrastructure_buildings,2,7.4,-1,-3.4,-11,2266
24,13,public_builders,0,0,0,0,0,0
25,13,companies,5,18.9,-1,-1.9,-10,4224
26,25,davon,0,0,0,0,0,0
27,25,housing_companies,2,-2.4,0,0,0,2844
28,25,real_estate_funds,0,0,0,0,0,0
29,25,agriculture_forestry_animal_husbandry_fishing,2,5,-1,-1.9,-10,768
30,25,trade_banking_services_insurance_transport_and_communications,1,16.2,0,0,0,612
31,13,private_households,2,1.7,1,1.5,5,274
32,13,non_profit_organisations,2,7.4,-1,-3.4,-11,2266
